,country_code,year,pc0_last_year,pc1_last_year,log10_gdp_per_capita_constant2010USD_last_year,change_in_pc0,change_in_pc1,change_in_log10_gdp_per_capita_constant2010USD,last_year,eci_last_year,countryname,wbgi_gee_last_year,wbgi_rle_last_year,yr_sch_last_year,cognitive_last_year
1510,ESP,1969,3.2156224970560188,0.15584755818711574,4.085515609339344,0.27893968519807805,0.005430851072837528,0.032776186428375986,1968,0.8360307812690735,Spain,,,5.1463299000000005,4.829
1511,ESP,1970,3.4945621822540973,0.16127840925995324,4.11829179576772,0.20150077096348484,-0.10370515630356376,0.013421918953301136,1969,1.115241527557373,Spain,,,5.3687224,4.829
1512,ESP,1971,3.696062953217582,0.05757325295638947,4.131713714721021,0.18527179876749944,-0.07443406606305518,0.014503430685352647,1970,0.9816994667053223,Spain,,,5.591115,4.829
1513,ESP,1972,3.8813347519850816,-0.01686081310666569,4.146217145406374,0.2723436628821241,0.04374146695381915,0.029230298987264376,1971,1.0641047954559326,Spain,,,5.654106099999999,4.829
1514,ESP,1973,4.153678414867207,0.026880653847153445,4.175447444393639,0.4217716705380577,-0.0035980804058100275,0.02777360521807637,1972,1.0216470956802368,Spain,,,5.7170973,4.829
1515,ESP,1974,4.575450085405262,0.023282573441343424,4.203221049611715,0.5068744014408564,-0.12928601536992054,0.01899603577837539,1973,0.9714667797088623,Spain,,,5.7800879,4.829
1516,ESP,1975,5.082324486846121,-0.10600344192857712,4.222217085390089,0.0013522292858141325,-0.1626449173424704,-0.002347600139276373,1974,0.9278049468994141,Spain,,,5.8430791,4.829
1517,ESP,1976,5.083676716131933,-0.2686483592710475,4.219869485250814,0.13444792267107614,0.09545387049317856,0.009526412806474479,1975,0.8961116075515747,Spain,,,5.9060702,4.829
1518,ESP,1977,5.21812463880301,-0.17319448877786894,4.229395898057288,0.2105572856174618,-0.0008222158499738562,0.007686584542961228,1976,0.9544774293899536,Spain,,,6.086374299999999,4.829
1519,ESP,1978,5.428681924420471,-0.17401670462784286,4.2370824826002496,0.2456849068552689,-0.055219635488574864,0.002125993856730624,1977,0.9199179410934448,Spain,,,6.2666783,4.829
1520,ESP,1979,5.674366831275741,-0.2292363401164177,4.23920847645698,0.4030908275727789,-0.1046322054346125,-0.003648276067950817,1978,1.1893659830093384,Spain,,,6.4469819,4.829
1521,ESP,1980,6.07745765884852,-0.3338685455510302,4.2355602003890285,0.16180953944280674,-0.05838592100821089,0.006000757535356449,1979,1.29423189163208,Spain,,,6.627286,4.829
